T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
11877, 63, 185, -336, 84560, 34720, 12250
11897, 171, 103, -320, 76930, 42700, 31570
11917, 367, -48, -350, 68810, 25830, 64400
11937, 376, -113, -279, 58450, 14070, 87080
11957, 511, -211, -195, 53340, 23380, 96460
11977, 581, -265, -225, 54810, 37030, 100730
11997, 591, -263, -145, 61460, 72870, 89460
12017, 660, -300, -21, 62860, 102690, 77280
12037, 801, -283, 99, 54530, 102340, 71400
12057, 992, -212, -34, 59780, 84350, 54670
12077, 582, -96, -44, 83720, 177450, -13790
12097, 458, -201, -145, 51240, 224700, -23590
12117, 429, -395, 2, 56770, 170100, -18900
12137, 744, -243, 167, 53830, 121380, -8120
12157, 420, -263, 233, 24710, 128170, -15260
12177, 194, -257, 311, -8540, 191520, -23800
12197, 454, -354, 630, -34160, 160790, 2590
12217, 820, -441, 790, -54950, 123130, 48020
12237, 815, -493, 841, -64260, 119280, 65170
12257, 689, -559, 918, -60970, 132090, 53200
12277, 1026, -664, 962, -63490, 121310, 54530
12297, 1271, -630, 1051, -83930, 105210, 65450
12317, 705, -504, 1099, -83440, 130480, 41020
12337, 489, -459, 1232, -72660, 155610, 7070
12357, 1028, -576, 1393, -75740, 101150, 24850
12377, 1514, -599, 1396, -74480, 51800, 53830
12397, 1156, -570, 1275, -62930, 66920, 42140
12417, 868, -526, 1378, -58310, 111300, 6580
12437, 930, -500, 1505, -68320, 98420, -5740
12457, 1342, -468, 1585, -77630, 62790, 3920
12477, 1375, -463, 1503, -74620, 42560, 7770
12497, 868, -264, 1551, -63770, 89950, -20790
12517, 772, -382, 1623, -70070, 175840, -62090
12537, 962, -266, 1774, -41300, 48020, -63350
12557, 974, -271, 1522, -24710, 21140, -48160
12577, 901, -264, 1387, -19040, 56560, -54670
12597, 959, -148, 1251, -4760, 14350, -62160
12617, 891, -40, 1226, 420, -44380, -61320
12637, 911, -56, 1190, 6160, -112280, -44170
12657, 1126, 151, 1260, 37940, -216930, -23870
12677, 1122, 211, 1166, 97650, -275030, -21140
12697, 1036, 222, 1063, 66080, -159530, -95060
12717, 1220, 221, 1103, 4620, -82180, -61670
12737, 1042, 208, 991, -36330, -107870, -48930
12757, 976, 295, 1065, -70770, -98490, -51240
12777, 927, 281, 997, -98070, -94780, -63420
12797, 980, 309, 884, -84070, -111720, -59220
12817, 1042, 368, 819, -49420, -147840, -42910
12837, 1274, 331, 683, -25690, -199990, -24360
12857, 1544, 297, 718, -11690, -253960, 70
12877, 1480, 310, 618, -17500, -215180, -27930
12897, 1327, 395, 555, -33180, -164430, -38150
12917, 982, 431, 419, -42350, -176960, -56210
12937, 656, 518, 307, -36470, -160650, -80010
12957, 435, 623, 304, -12950, -146230, -93940
12977, 416, 608, 115, 8610, -125230, -86170
12997, 496, 531, -102, -46550, -33320, -76510
13017, 421, 522, -203, -65310, 27440, -90510
13037, 516, 538, -172, -82040, 17780, -69790
13057, 602, 567, -96, -81480, -53970, -44450
13077, 576, 608, 44, -52430, -144200, -22400
13097, 503, 670, 46, -35700, -175560, -21980
13117, 358, 664, -12, -28350, -119350, -18340
13137, 419, 631, -39, -9310, -53550, -20650
13157, 595, 596, 5, -3710, -39830, -8890
13177, 684, 536, 83, -19740, -71750, 1400
13197, 501, 504, 212, -28000, -92470, -8540
13217, 402, 453, 322, -21700, -77770, -21700
13237, 424, 376, 314, -700, -43820, -22610
13257, 639, 303, 366, 32130, -7280, -19460
13277, 568, 190, 315, 52430, -8890, -15820
13297, 467, 102, 196, 70630, -20860, -31640
13317, 400, 100, 198, 73220, -30800, -40670
13337, 298, 119, 19, 61740, -29400, -39130
13357, 127, 181, -103, 59920, -3570, -36120
