,AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
367,416,-1085,-261,15610,111720,-176960
368,412,-1062,-250,21000,107310,-195650
369,439,-1102,-283,10080,79590,-196910
370,469,-1198,-339,-4550,48440,-192360
371,493,-1279,-378,-9800,26110,-186130
372,501,-1284,-387,-3640,18060,-186410
373,467,-1186,-344,8050,20160,-196000
374,431,-1063,-282,24710,24220,-202930
375,400,-963,-229,41090,25970,-204190
376,378,-896,-197,48370,17080,-195440
377,373,-858,-193,29610,-23450,-162470
378,375,-845,-202,17010,-41370,-143360
379,370,-828,-205,15680,-48720,-120680
380,362,-802,-193,22190,-46270,-99190
381,346,-770,-166,29120,-40390,-80220
382,338,-738,-149,30170,-36820,-63560
383,340,-723,-149,21980,-40530,-45150
384,343,-715,-157,13930,-46620,-20020
385,350,-725,-160,12950,-48090,10430
386,359,-761,-170,15330,-46760,42700
387,367,-806,-181,17290,-46060,75320
388,377,-860,-202,15400,-47320,102900
389,400,-920,-234,9660,-46620,118580
390,432,-989,-268,7070,-41370,127610
391,449,-1036,-288,12180,-33460,139090
392,456,-1061,-293,20440,-25970,153440
393,459,-1091,-295,28140,-21490,169470
394,468,-1144,-311,32060,-20930,184100
395,481,-1187,-336,28210,-24290,192080
396,495,-1209,-361,21560,-27300,192430
397,493,-1205,-356,23310,-24570,190470
398,476,-1174,-326,35770,-15540,190330
399,453,-1131,-307,45010,-9800,191520
400,435,-1088,-292,43330,-11900,190330
401,422,-1049,-277,37590,-13510,182140
402,410,-1015,-258,34790,-10430,170310
403,393,-976,-244,34440,-6440,160020
404,380,-946,-233,31220,-5600,151410
405,366,-917,-224,26530,-5180,141750
406,349,-883,-212,23520,-210,127190
407,335,-834,-187,22260,9660,106960
408,323,-803,-166,20790,21840,83300
409,316,-790,-162,16170,30940,61250
410,318,-794,-164,6580,33040,43610
411,322,-812,-182,-17290,33320,7280
412,324,-830,-193,-21980,39130,-12740
413,328,-826,-193,-20090,52640,-38430
414,322,-819,-172,-14700,66360,-62370
